NAME,BEST WER (dev-other),BEST WER (dev-clean),BEST WER (test-other),BEST WER (test-clean),FULL CONFIG PATH
conformer__conf__ff-act-gelu_conv_act-relu,"ep: 160, WER: 10.84",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__ff-act-gelu_conv_act-relu/returnn.config
conformer__conf__ff-act-relu_conv_act-gelu,"ep: 100, WER: 10.03",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__ff-act-relu_conv_act-gelu/returnn.config
conformer__conf__ff-act-relu_conv_act-swish,"ep: 120, WER: 10.4",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__ff-act-relu_conv_act-swish/returnn.config
conformer__conf__ff-act-swish_conv_act-relu,"ep: 200, WER: 10.2",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/activations/conformer__conf__ff-act-swish_conv_act-relu/returnn.config
conformer/conv_dim/,-,-,-,-,-
conformer__conf__conv_dim-1024,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_dim/conformer__conf__conv_dim-1024/returnn.config
conformer__conf__conv_dim-1538,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_dim/conformer__conf__conv_dim-1538/returnn.config
conformer__conf__conv_dim-2048,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_dim/conformer__conf__conv_dim-2048/returnn.config
conformer__conf__conv_dim-512,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_dim/conformer__conf__conv_dim-512/returnn.config
conformer__conf__conv_dim-768,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/conv_dim/conformer__conf__conv_dim-768/returnn.config
conformer/att_dim/,-,-,-,-,-
conformer__conf__attdim-1024,"ep: 100, WER: 11.08",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/att_dim/conformer__conf__attdim-1024/returnn.config
conformer__conf__attdim-128,"ep: 160, WER: 10.08",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/att_dim/conformer__conf__attdim-128/returnn.config
conformer__conf__attdim-256,"ep: 200, WER: 9.65",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/att_dim/conformer__conf__attdim-256/returnn.config
conformer__conf__attdim-512,"ep: 200, WER: 9.29",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/att_dim/conformer__conf__attdim-512/returnn.config
conformer__conf__attdim-768,"ep: 200, WER: 9.23",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/att_dim/conformer__conf__attdim-768/returnn.config
conformer/stoch_depth/,-,-,-,-,-
conformer__conf__stoch_depth-default,"ep: 190, WER: 9.23",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth/conformer__conf__stoch_depth-default/returnn.config
conformer/l2_drop_v2/,-,-,-,-,-
conf_base_conf__drop_l2__l2-0.00015_drop-0.02,"ep: 100, WER: 10.59",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.00015_drop-0.02/returnn.config
conf_base_conf__drop_l2__l2-0.00015_drop-0.03,"ep: 40, WER: 10.98",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.00015_drop-0.03/returnn.config
conf_base_conf__drop_l2__l2-0.00015_drop-0.05,"ep: 40, WER: 11.05",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.00015_drop-0.05/returnn.config
conf_base_conf__drop_l2__l2-0.00015_drop-0.1,"ep: 40, WER: 11.54",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.00015_drop-0.1/returnn.config
conf_base_conf__drop_l2__l2-0.0001_drop-0.02,"ep: 40, WER: 10.96",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0001_drop-0.02/returnn.config
conf_base_conf__drop_l2__l2-0.0001_drop-0.03,"ep: 200, WER: 9.01",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0001_drop-0.03/returnn.config
conf_base_conf__drop_l2__l2-0.0001_drop-0.05,"ep: 190, WER: 9.08",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0001_drop-0.05/returnn.config
conf_base_conf__drop_l2__l2-0.0001_drop-0.1,"ep: 200, WER: 9.69",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0001_drop-0.1/returnn.config
conf_base_conf__drop_l2__l2-0.0001_drop-0.15,"ep: 100, WER: 10.54",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0001_drop-0.15/returnn.config
conf_base_conf__drop_l2__l2-0.0001_drop-0.2,"ep: 190, WER: 10.06",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0001_drop-0.2/returnn.config
conf_base_conf__drop_l2__l2-0.0001_drop-0.25,"ep: 190, WER: 10.36",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/l2_drop_v2/conf_base_conf__drop_l2__l2-0.0001_drop-0.25/returnn.config
