Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.9_p0.3_st12.0|10.0_mb128|64,dev-other,5.3,5.25,4.3,0.5,0.5,0.23868010668242662,0.27043942529270404,0.5091195319751307
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.9_p0.3_st18.0|14.0_mb1024|256,dev-other,5.2,5.20,4.2,0.5,0.5,0.25301967159407074,0.8710628060949899,1.1240824776890606
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.9_p0.4_st12.0|10.0_mb128|64,dev-other,5.3,5.27,4.3,0.6,0.4,0.23812541936770468,0.2675225889023195,0.5056480082700242
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.9_p0.4_st18.0|14.0_mb1024|256,dev-other,5.3,5.24,4.3,0.6,0.4,0.25450171619291534,0.9111627519942841,1.1656644681871995
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.9_p0.5_st12.0|10.0_mb128|64,dev-other,5.4,5.33,4.3,0.6,0.4,0.24252922592079948,0.3869737980768139,0.6295030239976134
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm0.9_p0.5_st18.0|14.0_mb1024|256,dev-other,5.3,5.28,4.3,0.6,0.4,0.2391117904384338,0.8110104524687566,1.0501222429071904
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.0_p0.2_st12.0|10.0_mb128|64,dev-other,5.2,5.22,4.2,0.5,0.6,0.2390311843797212,0.3212188091106515,0.5602499934903726
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.0_p0.2_st18.0|14.0_mb1024|256,dev-other,5.2,5.16,4.1,0.5,0.6,0.24698752959211184,0.8299947696322979,1.0769822992244098
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.0_p0.3_st12.0|10.0_mb128|64,dev-other,5.2,5.21,4.2,0.5,0.5,0.23016920251231876,0.2633147308438308,0.49348393335614954
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.0_p0.3_st18.0|14.0_mb1024|256,dev-other,5.2,5.16,4.2,0.5,0.5,0.247927574889529,0.8534228611037289,1.101350435993258
qat_ctc_bpe_param_sync__recog_tree_bpe-LSTM_lm1.0_p0.4_st12.0|10.0_mb128|64,dev-other,5.3,5.23,4.2,0.6,0.4,0.2312740613398207,0.2687323729884666,0.5000064343282873
