Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.5,dev-other,5.5,4.5,0.7,0.4,0.23104311099822206,0.024941589150960505,0.25598470014918256
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.5,test-clean,2.7,2.1,0.4,0.2,0.21195677366381127,0.012845560474111334,0.2248023341379226
qat_ctc_bpe_part10__recog_tree_4gram_lm0.9_p0.5,test-other,5.7,4.4,0.7,0.5,0.21691063892735046,0.022373298026701485,0.23928393695405195
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.2,dev-clean,2.4,1.9,0.3,0.2,0.22119093357007705,0.008051220172550631,0.22924215374262769
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.2,dev-other,5.6,4.4,0.5,0.7,0.2202788923229988,0.01593715742797692,0.2362160497509757
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.2,test-clean,2.7,2.1,0.3,0.2,0.21954350233119727,0.008490693943919695,0.22803419627511698
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.2,test-other,5.9,4.5,0.6,0.8,0.22914544183890287,0.018524954922497346,0.2476703967614002
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.3,dev-clean,2.4,1.9,0.3,0.2,0.21906707877574194,0.0098787125942798,0.22894579137002172
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.3,dev-other,5.5,4.4,0.6,0.6,0.25873396614094263,0.02126007249937322,0.27999403864031586
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.3,test-clean,2.6,2.1,0.4,0.2,0.217448825106441,0.009490859418511879,0.2269396845249529
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.3,test-other,5.8,4.5,0.6,0.7,0.22741258484181076,0.019292596297705685,0.24670518113951645
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.4,dev-clean,2.4,1.9,0.3,0.2,0.20873836509833524,0.010072982433346181,0.2188113475316814
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.4,dev-other,5.5,4.4,0.6,0.5,0.2330692216557693,0.02168901360744187,0.2547582352632112
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.4,test-clean,2.7,2.1,0.4,0.2,0.21558448383742881,0.010950044366466412,0.22653452820389522
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.4,test-other,5.8,4.5,0.7,0.6,0.229014979205178,0.022005030458771616,0.2510200096639496
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.5,dev-clean,2.4,1.9,0.3,0.2,0.22104027382503721,0.013294269965012836,0.23433454379005006
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.5,dev-other,5.5,4.5,0.7,0.4,0.2204462476431384,0.02089267742149039,0.24133892506462876
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.5,test-clean,2.7,2.1,0.4,0.2,0.21821108422987553,0.013217565083160248,0.23142864931303578
qat_ctc_bpe_part10__recog_tree_4gram_lm1.0_p0.5,test-other,5.7,4.5,0.7,0.6,0.2381869795340101,0.024470259202741644,0.26265723873675173
