Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.6,dev-other,5.7,4.6,0.7,0.4,0.2352767303010118,0.026839909684792045,0.2621166399858038
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.6,test-clean,2.7,2.1,0.4,0.1,0.22313830770095536,0.016250675791187073,0.2393889834921424
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.6,test-other,5.7,4.5,0.8,0.4,0.23319849834091314,0.028150953617373145,0.2613494519582863
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.7,dev-clean,2.4,1.9,0.4,0.2,0.22367666654353488,0.01775526605053322,0.2414319325940681
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.7,dev-other,5.8,4.6,0.8,0.4,0.23466784798648893,0.029968943407303668,0.2646367913937926
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.7,test-clean,2.7,2.2,0.5,0.1,0.22186521809446064,0.018043136942840963,0.2399083550373016
qat_ctc_bpe__recog_tree_4gram_lm0.8_p0.7,test-other,5.9,4.6,0.9,0.4,0.23406998172282065,0.036644465362331534,0.2707144470851522
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.2,dev-clean,2.3,1.9,0.3,0.2,0.22962014063757263,0.009246635478113989,0.23886677611568663
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.2,dev-other,5.5,4.4,0.5,0.6,0.23797025963124746,0.017638604073457586,0.25560886370470504
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.2,test-clean,2.6,2.1,0.3,0.2,0.22078150870705737,0.009122841006634264,0.22990434971369164
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.2,test-other,5.7,4.5,0.6,0.7,0.25056584670272986,0.02011781215221877,0.2706836588549486
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.3,dev-clean,2.4,1.9,0.3,0.2,0.18069872776110946,0.00873209933792954,0.189430827099039
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.3,dev-other,5.5,4.4,0.6,0.6,0.2328765661328489,0.02029049090108329,0.25316705703393216
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.3,test-clean,2.6,2.1,0.4,0.2,0.21769357297003025,0.010429403510606191,0.22812297648063645
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.3,test-other,5.7,4.5,0.6,0.6,0.22845002183735078,0.020784336890382497,0.24923435872773328
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.4,dev-clean,2.4,1.9,0.3,0.2,0.23936538484898737,0.012185385268324227,0.2515507701173116
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.4,dev-other,5.6,4.5,0.6,0.5,0.22045736675376237,0.020307031389339366,0.24076439814310174
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.4,test-clean,2.6,2.1,0.4,0.2,0.22121636364695674,0.012330600951327217,0.23354696459828395
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.4,test-other,5.7,4.5,0.7,0.5,0.2513081386360616,0.024680775381106433,0.2759889140171681
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.5,dev-clean,2.4,1.9,0.3,0.2,0.22000999790611447,0.0137852405428243,0.23379523844893876
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.5,dev-other,5.6,4.5,0.7,0.5,0.21469219607398143,0.0213175793338628,0.23600977540784424
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.5,test-clean,2.7,2.1,0.4,0.2,0.19238624925359768,0.012149133426788578,0.20453538268038624
qat_ctc_bpe__recog_tree_4gram_lm0.9_p0.5,test-other,5.7,4.5,0.7,0.5,0.23122996339771845,0.026693963617580446,0.2579239270152989
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.2,dev-clean,2.4,1.9,0.3,0.3,0.24138654529698814,0.009654749619512348,0.2510412949165005
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.2,dev-other,5.6,4.4,0.5,0.7,0.2353255393274805,0.01804397334614988,0.25336951267363034
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.2,test-clean,2.7,2.1,0.3,0.3,0.23005300005485965,0.008972666918275703,0.23902566697313535
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.2,test-other,5.9,4.5,0.5,0.8,0.18700994834256268,0.013759466289180388,0.20076941463174305
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.3,dev-clean,2.4,1.9,0.3,0.2,0.23822823324044942,0.010813568092681913,0.24904180133313134
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.3,dev-other,5.5,4.4,0.5,0.6,0.2523973731759998,0.019174516575241024,0.2715718897512408
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.3,test-clean,2.6,2.1,0.3,0.2,0.21799616330903965,0.010216877026632964,0.22821304033567263
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.3,test-other,5.8,4.5,0.6,0.7,0.2327137591480634,0.02071828495539647,0.2534320441034599
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.4,dev-clean,2.4,1.9,0.3,0.2,0.19860378704982648,0.010425795010162355,0.20902958205998884
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.4,dev-other,5.6,4.5,0.6,0.5,0.2583250653556134,0.024792042333996712,0.2831171076896101
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.4,test-clean,2.7,2.1,0.4,0.2,0.200074967354179,0.010445540814603142,0.21052050816878215
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.4,test-other,5.8,4.6,0.6,0.6,0.2317600294131466,0.023150788262515248,0.25491081767566187
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.5,dev-clean,2.4,1.9,0.3,0.2,0.23732406014134289,0.014319182161630575,0.25164324230297347
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.5,dev-other,5.6,4.5,0.6,0.5,0.24607049613345788,0.02315815057212659,0.2692286467055845
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.5,test-clean,2.7,2.1,0.4,0.2,0.2210593323705348,0.013757052547238158,0.23481638491777296
qat_ctc_bpe__recog_tree_4gram_lm1.0_p0.5,test-other,5.8,4.5,0.7,0.5,0.24682835014777588,0.026842420451039028,0.2736707705988149
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.2,dev-clean,2.5,1.9,0.3,0.4,0.2385847430458687,0.00956363894558749,0.2481483819914562
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.2,dev-other,5.7,4.4,0.5,0.8,0.2470636737464097,0.017924639414708263,0.2649883131611179
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.2,test-clean,2.8,2.1,0.3,0.3,0.21705550068529736,0.008940398148092076,0.2259958988333894
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.2,test-other,6.0,4.5,0.5,1.0,0.23287237112719328,0.01782387832353649,0.25069624945072977
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.3,dev-clean,2.5,1.9,0.3,0.3,0.23317970333635463,0.009990293431814942,0.24316999676816956
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.3,dev-other,5.6,4.4,0.5,0.7,0.23562025171112205,0.019731882980036225,0.2553521346911583
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.3,test-clean,2.7,2.1,0.3,0.3,0.23419930027452504,0.010882249444403573,0.24508154971892862
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.3,test-other,6.0,4.6,0.5,0.9,0.21998092908779215,0.01762142345537203,0.23760235254316417
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.4,dev-clean,2.5,1.9,0.3,0.3,0.22439428169145015,0.01177340585325454,0.23616768754470469
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.4,dev-other,5.6,4.4,0.5,0.6,0.21549063488281822,0.017439909892387726,0.23293054477520594
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.4,test-clean,2.7,2.2,0.3,0.3,0.2189099639599279,0.011482389738150628,0.23039235369807853
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.4,test-other,5.9,4.6,0.6,0.7,0.21881506414889237,0.018918215775852766,0.23773327992474513
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.5,dev-clean,2.5,1.9,0.3,0.3,0.22350477015969547,0.013526655128056975,0.23703142528775245
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.5,dev-other,5.6,4.5,0.6,0.6,0.24604878177315545,0.024169447738470046,0.2702182295116255
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.5,test-clean,2.8,2.2,0.4,0.2,0.24330753306127606,0.014795111577604844,0.2581026446388809
qat_ctc_bpe__recog_tree_4gram_lm1.1_p0.5,test-other,5.9,4.6,0.7,0.6,0.2418600456976623,0.024759282587442887,0.2666193282851052
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.2,dev-clean,2.7,1.9,0.2,0.5,0.24150902369676075,0.009323794258192658,0.25083281795495344
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.2,dev-other,5.9,4.4,0.5,1.1,0.25326981901537376,0.016611463969078963,0.26988128298445274
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.2,test-clean,3.0,2.2,0.3,0.5,0.20145786776619426,0.007787390337674238,0.20924525810386851
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.2,test-other,6.4,4.6,0.5,1.3,0.22038166329386857,0.015791471883711102,0.23617313517757968
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.3,dev-clean,2.6,2.0,0.3,0.4,0.23289263229846072,0.009719658204240708,0.24261229050270142
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.3,dev-other,5.8,4.4,0.5,0.9,0.2533424835348393,0.018183021821223926,0.27152550535606323
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.3,test-clean,2.9,2.2,0.3,0.4,0.2206959422893922,0.010217206952586606,0.23091314924197884
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.3,test-other,6.2,4.6,0.5,1.1,0.2545035558950566,0.021683821680732872,0.27618737757578943
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.4,dev-clean,2.6,2.0,0.3,0.4,0.20734819045783534,0.010635392073218165,0.2179835825310535
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.4,dev-other,5.7,4.5,0.5,0.8,0.2490970051304583,0.021308394328251996,0.2704053994587103
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.4,test-clean,2.9,2.2,0.3,0.4,0.21848267126929963,0.01126933835166125,0.22975200962096087
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.4,test-other,6.1,4.6,0.6,0.9,0.21873115453169165,0.01844551011945553,0.23717666465114717
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.5,dev-clean,2.6,2.0,0.3,0.3,0.22648883627887645,0.012678426798501164,0.23916726307737762
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.5,dev-other,5.8,4.5,0.6,0.7,0.24613307839804036,0.0233145792996708,0.2694476576977112
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.5,test-clean,2.9,2.2,0.3,0.3,0.22006585243915083,0.013074429056644552,0.23314028149579538
qat_ctc_bpe__recog_tree_4gram_lm1.2_p0.5,test-other,6.1,4.7,0.6,0.8,0.23160067614698507,0.024085072091738595,0.2556857482387237
