Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.0_elm1.0,dev-other,17.9,17.89,3.5,0.2,14.2,0.22175174919908888,1.7043846854814801,1.9261364346805692
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.0_elm1.1,dev-other,22.4,22.33,3.6,0.2,18.6,0.22130053722222046,1.5864860046308302,1.8077865418530508
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.0_elm1.2,dev-other,26.6,26.61,3.8,0.2,22.7,0.21541853869436525,1.4442099002056796,1.6596284389000449
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.1_elm0.6,dev-other,5.8,5.79,3.9,0.4,1.5,0.24224179435563567,2.5645687681583187,2.8068105625139546
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.1_elm0.7,dev-other,6.7,6.71,3.7,0.4,2.6,0.22768360337608012,2.2789771388711184,2.5066607422471985
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.1_elm0.8,dev-other,8.5,8.43,3.6,0.3,4.5,0.2402431575350237,2.3087468601600847,2.5489900176951084
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.1_elm0.9,dev-other,10.7,10.71,3.5,0.3,6.9,0.2351214876927823,2.1854164661225197,2.4205379538153022
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.1_elm1.0,dev-other,13.6,13.57,3.5,0.2,9.9,0.21779478133204763,1.8381022650663095,2.055897046398357
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.1_elm1.1,dev-other,16.7,16.64,3.5,0.2,13.0,0.2263668202345353,1.8388814471625532,2.0652482673970884
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_tree_bpe-LSTM_ilm0.1_elm1.2,dev-other,20.1,20.02,3.5,0.2,16.4,0.2301598433106581,1.84121854203565,2.071378385346308
