                                                   Experiments |   2 corpus | 3 WER | 4 Del | 5 Ins | 6 Sub | 7 Enc RTF | 8 Search RTF | 9 Total RTF | 10 Step Hyps | 11 Step Word End Hyps | 12 Step Trees
 81__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.2 |  dev-clean |   2.4 |   0.3 |   0.2 |   1.9 |   0.21582 |      0.00759 |     0.22342 |      Not set |               Not set |       Not set
 82__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.2 |  dev-other |   5.6 |   0.8 |   0.5 |   4.3 |   0.23372 |      0.01546 |     0.24918 |      Not set |               Not set |       Not set
 83__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.2 | test-clean |   2.8 |   0.4 |   0.3 |   2.1 |   0.20556 |      0.00711 |     0.21266 |      Not set |               Not set |       Not set
 84__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.2 | test-other |   5.8 |   1.0 |   0.5 |   4.4 |   0.20966 |      0.01385 |     0.22351 |      Not set |               Not set |       Not set
 85__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.3 |  dev-clean |   2.4 |   0.3 |   0.3 |   1.9 |   0.20859 |      0.00784 |     0.21642 |      Not set |               Not set |       Not set
 86__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.3 |  dev-other |   5.6 |   0.7 |   0.6 |   4.3 |   0.24696 |       0.0184 |     0.26536 |      Not set |               Not set |       Not set
 87__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.3 | test-clean |   2.8 |   0.3 |   0.3 |   2.1 |   0.23818 |      0.00943 |     0.24761 |      Not set |               Not set |       Not set
 88__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.3 | test-other |   5.7 |   0.8 |   0.6 |   4.4 |    0.2317 |      0.01814 |     0.24984 |      Not set |               Not set |       Not set
 89__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.4 |  dev-clean |   2.4 |   0.2 |   0.3 |   1.9 |   0.21761 |       0.0091 |     0.22671 |      Not set |               Not set |       Not set
 90__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm1.1_p0.4 |  dev-other |   5.5 |   0.6 |   0.6 |   4.4 |   0.23098 |      0.01827 |     0.24925 |      Not set |               Not set |       Not set
